study_word,test,textbox.text,textbox.started,textbox.stopped,text_3.started,text_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate
,_ap_op,laptop,24.4428717,None,24.4428717,None,-0.006510417,-0.305989583,1,0,0,text_3,0.00329239,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,_ia_o,piano,29.1003645,None,29.1003645,None,0.029947917,-0.29296875,1,0,0,text_3,0.00888099,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,_o_s_,mouse,32.2334411,None,32.2334411,None,-0.0390625,-0.321614583,1,0,0,text_3,0.00981349,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,t_g_r,tiger,39.7161298,None,39.7161298,None,-0.0078125,-0.333333333,1,0,0,text_3,0.01044839,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,c_m_r_,camera,42.5658918,None,42.5658918,None,0.013020833,-0.296875,1,0,0,text_3,0.00962949,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,_oo_,book,45.2323412,None,45.2323412,None,-0.046875,-0.319010417,1,0,0,text_3,0.00996859,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,g_i_ar,ginger,48.9320428,None,48.9320428,None,-0.119791667,-0.305989583,1,0,0,text_3,0.01071259,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,o_a_n_e,orange,56.648064,None,56.648064,None,-0.006510417,-0.2890625,1,0,0,text_3,0.01031339,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,c_sh_on,cushion,62.6308519,None,62.6308519,None,-0.03515625,-0.319010417,1,0,0,text_3,0.01002809,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,_a_e,plane,68.5136663,None,68.5136663,None,-0.067708333,-0.329427083,1,0,0,text_3,0.01110649,None,,1,2022_Oct_20_1527,Tutorial_5,2021.1.4,60.0035162
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Prop hit from study list:,4,0.8,,,,,,,,,,,,,,,
,,,Prop hit from non primed words:,3,0.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Priming Score:,,0.2,,,,,,,,,,,,,,,
